Ticker,Group,Latest Date,Adjusted Close,1M Total Return,3M Total Return,6M Total Return,1Y Total Return,Status
GPIX,S&P 500 income,2026-09-10,55.20999908,-0.014311144879331383,0.048502828601779235,0.11348962432168586,0.17259560688531295,OK
ISPY,S&P 500 income,2026-09-10,47.68999863,-0.01946297807431585,0.0331182333989235,0.09473805975449046,0.14487752660642483,OK
XYLG,S&P 500 income,2026-09-10,29.32500076,-0.007631007941471313,0.054720633674277375,0.10538112013804013,0.17612438009571485,OK
SPYI,S&P 500 income,2026-09-10,53.17499924,-0.008788883479936782,0.05368383997740778,0.0963040427602011,0.15443078586555714,OK
VOOY,US large-cap income,2026-09-10,24.94000053,,,,,Limited history
XYLD,S&P 500 income,2026-09-10,41.30500031,0.0008613917276629746,0.06043324574295794,0.077342419690273,0.17239372849915613,OK
GPIQ,Nasdaq-100 income,2026-09-10,55.90000153,-0.01343822117064486,0.025774403201647367,0.14211896334379448,0.216129121138124,OK
QYLG,Nasdaq-100 income,2026-09-10,29.47999954,-0.0009082059151677147,0.04321313216575784,0.13724080072413702,0.2240053458335538,OK
QQQI,Nasdaq-100 income,2026-09-10,54.08000183,-0.007472756123593105,0.03364408341073477,0.10633947612251915,0.16348335562213245,OK
ROCQ,Nasdaq income,2026-09-10,55.00000000,-0.0028058948621809687,0.041775290900998296,,,Limited history
XQQI,Nasdaq-100 income,2026-09-10,47.91999817,-0.01372562566932245,0.02753465757951523,0.12796349985345912,,Limited history
QQQY,Nasdaq-100 income,2026-09-10,21.97999954,-0.01816486797536554,0.023635231489007147,0.1611123851316032,0.1981076639133259,OK
QYLD,Nasdaq-100 income,2026-09-10,18.23999977,0.01509854870720262,0.06563562130996448,0.09701711094288856,0.2190029594210745,OK
DIVO,Dow-like equity income,2026-09-10,47.47999954,-0.01015044180435365,0.05457418038877582,0.060148849820074624,0.1668839664276791,OK
DJIA,Dow 30 income,2026-09-10,22.54999924,-0.003221340164517028,0.05024331310906005,0.07169433612605336,0.14852247885602132,OK
VOO,S&P 500 benchmark,2026-09-10,696.71002197,-0.019615847410826337,0.04750609169518838,0.12561759146625273,0.1755245445869722,OK
QQQM,Nasdaq-100 benchmark,2026-09-10,291.79998779,-0.01701202023484505,0.021746176106358872,0.1688898617037462,0.22676011306764754,OK
DIA,Dow 30 benchmark,2026-09-10,520.79998779,-0.03294714475985483,0.04508254220928953,0.09785103772221815,0.1597734110721234,OK
